,time_AU,CFFval
0,0,5.177073764017925e-22
1,35,5.133992793570588e-22
2,70,5.0082671020577355e-22
3,105,4.809797162489648e-22
4,140,4.553122042983947e-22
5,175,4.255107453488798e-22
6,210,3.932674601869274e-22
7,245,3.6010323042257087e-22
8,280,3.2726184327873125e-22
9,315,2.9567211687022174e-22
10,350,2.6596101905977883e-22
11,385,2.3849690398206187e-22
12,420,2.134448668613661e-22
13,455,1.9082184455619242e-22
14,490,1.7054464391286417e-22
15,525,1.52468265581939e-22
16,560,1.3641448169355491e-22
17,595,1.2219193368689175e-22
18,630,1.0960947207090891e-22
19,665,9.84844317659578e-23
20,700,8.864729892585983e-23
21,735,7.994391585260078e-23
22,770,7.223608083702633e-23
23,805,6.540115599597773e-23
24,840,5.933110388048487e-23
25,875,5.393123705346891e-23
26,910,4.911885940275674e-23
27,945,4.482191288181715e-23
28,980,4.097769273573966e-23
29,1015,3.753166677594509e-23
30,1050,3.4436411403930523e-23
31,1085,3.1650668163803e-23
32,1120,2.913851453002838e-23
33,1155,2.6868641331844515e-23
34,1190,2.481372609817337e-23
35,1225,2.294989148712629e-23
36,1260,2.1256238866328242e-23
37,1295,1.971444665388129e-23
38,1330,1.8308425029412682e-23
39,1365,1.702401930435758e-23
40,1400,1.5848754902599458e-23
41,1435,1.4771618212201974e-23
42,1470,1.3782867579820093e-23
43,1505,1.2873870952272449e-23
44,1540,1.2036965367292101e-23
45,1575,1.1265336381067445e-23
46,1610,1.055291288032776e-23
47,1645,9.894276878239817e-24
48,1680,9.284584427746504e-24
49,1715,8.719497965899036e-24
50,1750,8.195126282513749e-24
51,1785,7.707973223560143e-24
52,1820,7.254892189536919e-24
53,1855,6.833046780218124e-24
54,1890,6.4398763795955295e-24
55,1925,6.073065501261496e-24
56,1960,5.730517520475452e-24
57,1995,5.410330629540306e-24
58,2030,5.110778014390204e-24
59,2100,4.567432374185552e-24
60,2170,4.089512483452185e-24
61,2240,3.667873411366297e-24
62,2310,3.2948505330745552e-24
63,2380,2.963988472089105e-24
64,2450,2.669824180495845e-24
65,2520,2.4077135715187272e-24
66,2590,2.173691478203497e-24
67,2660,1.964358639624e-24
68,2730,1.7767890259512133e-24
69,2800,1.6084548171847363e-24
70,2870,1.4571640051471531e-24
71,2940,1.3210097706632318e-24
72,3010,1.1983274767704211e-24
73,3080,1.087659819788429e-24
74,3150,9.87727065659348e-25
75,3220,8.974025858745148e-25
76,3290,8.156915979721471e-25
77,3360,7.417139570566149e-25
78,3430,6.746889677176912e-25
79,3500,6.139226741375938e-25
80,3570,5.58796921731197e-25
81,3640,5.087602694892578e-25
82,3710,4.633196248753875e-25
